0.11,1.39,1.22
0.07,1.44,1.03
0.04,1.11,0.99
0.01,0.76,1.12
-0.06,0.51,1.18
-0.1,0.44,1.09
-0.11,0.18,1.12
-0.07,0.24,1.27
-0.07,0.17,1.29
-0.06,-0.06,1.33
-0.05,-0.06,1.46
-0.08,-0.15,1.5
-0.13,-0.36,1.53
-0.15,-0.46,1.59
-0.22,-0.53,1.55
-0.24,-0.6,1.47
-0.25,-0.68,1.48
-0.24,-0.71,1.43
-0.21,-0.67,1.4
-0.19,-0.65,1.35
-0.17,-0.63,1.3
-0.17,-0.76,1.41
-0.19,-0.85,1.41
-0.23,-0.9,1.28
-0.28,-0.93,1.11
-0.31,-1,0.96
-0.29,-0.93,0.91
-0.3,-0.93,0.86
-0.32,-1.01,0.78
-0.31,-0.97,0.72
-0.3,-0.98,0.73
-0.28,-0.93,0.77
-0.24,-0.8,0.81
-0.23,-0.75,0.89
-0.26,-0.77,0.86
-0.29,-0.68,0.7
-0.31,-0.59,0.53
-0.32,-0.75,0.51
-0.36,-0.73,0.43
-0.38,-0.74,0.46
-0.38,-0.65,0.47
-0.37,-0.5,0.43
-0.21,-0.08,0.41
-0.1,0.12,0.46
-0.01,0.23,0.51
0.11,0.52,0.58
0.11,0.5,0.72
0.03,0.27,0.82
-0.1,-0.02,0.81
-0.2,-0.19,0.72
-0.24,-0.08,0.62
-0.22,0.23,0.49
-0.12,0.51,0.49
-0.04,0.53,0.6
0.03,0.57,0.64
0.09,0.62,0.69
0.12,0.51,0.77
0.12,0.37,0.78
0.05,0.17,0.72
0,0.1,0.64
-0.01,0.15,0.61
-0.03,0.15,0.59
-0.02,0.16,0.65
0.03,0.22,0.69
0.07,0.24,0.66
0.1,0.15,0.78
0.11,0.14,0.91
0.13,0.15,0.91
0.18,0.26,0.95
0.21,0.44,1
0.21,0.53,0.98
0.21,0.5,0.98
0.2,0.44,1.01
0.18,0.32,1.04
0.17,0.23,1.09
0.15,0.2,1.19
0.14,0.24,1.22
0.14,0.29,1.22
0.15,0.38,1.22
0.15,0.43,1.19
0.15,0.39,1.15
0.16,0.37,1.16
0.2,0.38,1.18
0.18,0.34,1.15
0.13,0.1,1.17
0.06,-0.07,1.22
0.02,-0.19,1.33
0.01,-0.09,1.34
-0.01,-0.13,1.41
-0.01,-0.16,1.38
-0.03,-0.14,1.28
-0.05,-0.19,1.14
-0.08,-0.23,1
-0.06,-0.21,1.02
-0.05,-0.23,1.17
-0.06,-0.26,1.27
-0.07,-0.27,1.28
-0.08,-0.29,1.25
-0.08,-0.27,1.21
-0.05,-0.18,1.15
-0.01,-0.13,1.11
0,-0.08,1.09
0.01,-0.06,1.01
-0.01,-0.08,0.9
-0.03,-0.1,0.86
-0.03,-0.12,0.88
-0.02,-0.17,0.96
-0.02,-0.16,1
-0.02,-0.17,0.99
0,-0.13,0.99
0.02,-0.05,0.98
0.04,0.01,0.96
0.04,0,0.97
0.06,0.1,0.95
0.05,0.1,0.93
0.03,0.01,0.95
0.02,-0.02,0.98
0,-0.02,0.98
-0.01,-0.09,0.99
-0.01,-0.1,1.02
0,-0.07,1
0,-0.03,0.96
0.01,-0.02,0.92
0.03,0.02,0.93
0.05,0.11,0.91
0.06,0.09,0.93
0.04,0.04,1
0.02,-0.01,1.03
-0.24,-0.76,1.52
-0.27,-0.83,1.48
-0.26,-0.77,1.32
-0.25,-0.74,1.23
-0.28,-0.75,1.18
-0.25,-0.58,1.07
-0.25,-0.64,1.02
-0.27,-0.74,1.04
-0.28,-0.76,1.03
-0.28,-0.76,1.01
-0.28,-0.74,0.96
-0.27,-0.73,0.82
-0.22,-0.58,0.68
-0.23,-0.59,0.67
-0.24,-0.58,0.64
-0.18,-0.47,0.6
-0.16,-0.45,0.65
-0.14,-0.43,0.71
-0.13,-0.42,0.76
-0.13,-0.42,0.78
-0.14,-0.43,0.83
-0.13,-0.43,0.78
-0.09,-0.18,0.6
-0.04,-0.03,0.62
-0.02,-0.06,0.72
-0.03,-0.08,0.84
-0.07,-0.02,0.88
-0.11,-0.05,0.75
-0.15,-0.12,0.62
-0.16,-0.03,0.45
-0.18,-0.05,0.37
-0.19,-0.13,0.48
-0.18,-0.15,0.6
-0.14,0.01,0.61
-0.1,0.27,0.59
-0.11,0.23,0.59
-0.13,0.13,0.54
-0.12,0.28,0.5
-0.08,0.36,0.5
-0.04,0.43,0.57
0.01,0.44,0.69
0.06,0.54,0.66
0.1,0.61,0.58
0.11,0.51,0.61
0.12,0.4,0.65
0.12,0.42,0.68
0.13,0.52,0.67
0.16,0.62,0.69
0.19,0.64,0.78
0.21,0.62,0.83
0.27,0.58,0.9
0.32,0.63,0.96
0.31,0.56,0.94
0.31,0.48,0.99
0.3,0.57,1.08
0.29,0.54,1.11
0.26,0.45,1.11
0.23,0.39,1.09
0.21,0.34,0.99
0.19,0.19,0.92
0.17,0.05,0.97
0.17,0.06,1.08
0.17,0.06,1.15
0.14,0.09,1.24
0.14,0.16,1.31
0.12,0.19,1.32
0.08,0.17,1.26
0.04,0.05,1.25
0,-0.03,1.22
-0.03,-0.14,1.2
-0.06,-0.21,1.16
-0.08,-0.27,1.27
-0.08,-0.24,1.32
-0.1,-0.23,1.29
-0.11,-0.27,1.29
-0.09,-0.21,1.27
-0.06,-0.13,1.23
-0.02,-0.13,1.22
-0.01,-0.09,1.21
-0.03,-0.09,1.19
-0.02,-0.14,1.14
-0.06,-0.17,1.05
-0.07,-0.19,1.01
-0.09,-0.22,1.03
-0.09,-0.21,1.06
-0.07,-0.12,1.05
-0.05,-0.09,1.06
-0.02,-0.09,1.11
0.01,-0.01,1.08
0.04,0.07,1.03
0.01,0.03,1.03
0.02,0.05,0.99
0,0.07,0.94
-0.03,-0.02,0.91
-0.04,-0.05,0.94
-0.04,-0.04,0.98
-0.03,-0.01,1
-0.01,-0.01,1.03
-0.01,0.03,1.02
0.02,0.08,0.98
0.05,0.2,0.94
0.07,0.2,0.95
0.05,0.16,0.99
0.01,0.11,0.98
-0.02,0.03,0.93
-0.03,-0.01,0.92
-0.02,0.05,0.93
-0.02,0.03,0.95
-0.03,-0.01,0.98
-0.03,-0.02,0.98
-0.03,-0.03,0.97
-0.01,0.01,0.96
-0.01,0.04,0.93
-0.02,0.04,0.91
-0.01,0.06,0.94
-0.02,0.05,0.95
-0.03,0.01,0.98
-0.02,0.03,0.99
-0.02,0.03,1
0,0.09,0.99
0,0.07,0.98
0.01,0.04,1
0,0.05,1.01
0.01,0.07,0.99
0.01,0.06,0.98
0,0.07,0.98
-0.01,0.04,1
-0.02,0.01,1.01
-0.3,-0.98,1.39
-0.27,-0.85,1.31
-0.28,-0.77,1.34
-0.3,-0.73,1.3
-0.31,-0.66,1.23
-0.29,-0.62,1.16
-0.33,-0.71,1.15
-0.33,-0.63,1.07
-0.33,-0.7,0.99
-0.31,-0.72,0.95
-0.29,-0.74,0.98
-0.27,-0.71,0.95
-0.25,-0.74,0.89
-0.21,-0.72,0.87
-0.14,-0.52,0.87
-0.12,-0.51,0.87
-0.13,-0.57,0.92
-0.16,-0.58,0.96
-0.21,-0.63,0.8
-0.26,-0.65,0.56
-0.28,-0.61,0.42
-0.29,-0.67,0.42
-0.31,-0.71,0.48
-0.29,-0.58,0.46
-0.25,-0.39,0.48
-0.24,-0.38,0.59
-0.17,-0.24,0.69
-0.09,0.07,0.78
-0.04,0.11,0.85
-0.04,0.07,0.85
-0.09,0,0.69
-0.1,0.01,0.46
-0.11,0.04,0.39
-0.11,0.03,0.43
-0.08,0.29,0.4
-0.03,0.27,0.41
0.02,0.26,0.58
0.04,0.29,0.75
0.03,0.23,0.74
0,0.06,0.62
-0.04,-0.04,0.52
-0.09,-0.04,0.42
-0.11,0.03,0.31
-0.1,0.08,0.27
-0.07,0.08,0.43
-0.01,0.18,0.65
0.05,0.32,0.81
0.08,0.25,0.94
0.1,0.21,1.01
0.11,0.22,0.97
0.14,0.28,0.94
0.16,0.43,0.89
0.15,0.5,0.89
0.13,0.39,0.96
0.12,0.32,1.03
0.12,0.26,1.18
0.14,0.24,1.29
0.14,0.19,1.26
0.16,0.23,1.2
0.15,0.21,1.21
0.14,0.2,1.21
0.13,0.23,1.21
0.14,0.22,1.2
0.15,0.22,1.17
0.14,0.22,1.1
0.13,0.12,1.11
0.13,0.14,1.16
0.1,0.13,1.2
0.04,0.08,1.21
0,0.07,1.2
0.01,0.08,1.19
0.01,0,1.15
0.01,-0.05,1.17
0,-0.14,1.2
-0.02,-0.24,1.19
-0.04,-0.25,1.13
-0.04,-0.21,1.09
-0.04,-0.11,1.08
-0.06,-0.13,1.11
-0.04,-0.05,1.13
-0.03,-0.02,1.15
-0.04,-0.09,1.18
-0.07,-0.21,1.14
-0.11,-0.34,1.08
-0.14,-0.36,1.02
-0.14,-0.36,0.99
-0.1,-0.29,0.99
-0.07,-0.18,0.99
-0.04,-0.12,0.91
-0.01,-0.11,0.93
0,-0.1,1.03
-0.02,-0.2,1.1
-0.05,-0.25,1.11
-0.05,-0.2,1.09
-0.06,-0.17,1.07
-0.06,-0.18,1.07
-0.06,-0.15,1.05
-0.04,-0.08,1.01
-0.02,-0.08,1
-0.01,-0.09,1.01
-0.01,-0.07,1
-0.01,-0.09,0.99
-0.03,-0.13,1.01
-0.04,-0.12,1.02
-0.04,-0.12,1.03
-0.04,-0.12,1.06
-0.04,-0.06,1.04
-0.03,-0.03,0.99
-0.04,-0.07,0.96
-0.05,-0.09,0.96
-0.08,-0.14,0.92
-0.1,-0.2,0.91
-0.1,-0.2,0.93
-0.07,-0.14,0.94
-0.04,-0.07,0.99
-0.03,-0.08,1.02
-0.03,-0.06,1
-0.03,-0.09,0.98
-0.02,-0.09,0.99
-0.01,-0.06,0.99
0,-0.01,0.98
-0.02,-0.05,0.98
-0.03,-0.08,0.95
-0.03,-0.04,0.94
-0.03,-0.04,0.97
-0.02,-0.06,1
-0.02,-0.06,1
-0.02,-0.06,1.01
-0.28,-1,1.34
-0.3,-0.97,1.28
-0.31,-0.82,1.12
-0.32,-0.77,0.92
-0.28,-0.77,0.87
-0.24,-0.69,0.94
-0.21,-0.72,0.97
-0.21,-0.73,0.97
-0.24,-0.77,0.92
-0.25,-0.81,0.84
-0.28,-0.84,0.8
-0.3,-0.84,0.75
-0.32,-0.77,0.65
-0.3,-0.65,0.5
-0.29,-0.59,0.46
-0.25,-0.47,0.48
-0.19,-0.36,0.58
-0.18,-0.31,0.78
-0.22,-0.33,0.89
-0.28,-0.38,0.84
-0.31,-0.38,0.85
-0.3,-0.36,0.82
-0.28,-0.23,0.7
-0.26,-0.28,0.58
-0.24,-0.3,0.59
-0.2,-0.11,0.54
-0.21,-0.15,0.41
-0.21,-0.21,0.32
-0.19,-0.23,0.31
-0.22,-0.32,0.39
-0.24,-0.31,0.49
-0.21,-0.17,0.54
-0.18,-0.02,0.61
-0.14,0.21,0.66
-0.05,0.6,0.6
0,0.55,0.5
0.07,0.56,0.44
0.16,0.74,0.45
0.15,0.54,0.52
0.03,0.21,0.61
-0.05,0.16,0.54
-0.08,0.11,0.6
-0.07,0.16,0.75
-0.01,0.35,0.8
0.06,0.44,0.81
0.12,0.52,0.84
0.16,0.51,0.87
0.24,0.55,0.92
0.27,0.63,0.94
0.21,0.39,0.94
0.14,0.3,0.91
0.08,0.21,1.01
0.06,0.16,1.1
0.07,0.17,1.11
0.11,0.26,1.14
0.2,0.4,1.17
0.25,0.41,1.18
0.27,0.38,1.26
0.26,0.43,1.32
0.19,0.28,1.3
0.11,0.15,1.32
0.04,0.06,1.33
-0.04,-0.06,1.3
-0.07,-0.14,1.18
-0.09,-0.24,1.15
-0.09,-0.3,1.24
-0.06,-0.22,1.22
-0.01,-0.08,1.23
0.03,0.04,1.32
0.01,0.11,1.31
-0.03,0.03,1.28
-0.04,0.06,1.26
-0.07,-0.11,1.28
-0.08,-0.17,1.33
-0.12,-0.25,1.25
-0.11,-0.31,1.16
-0.14,-0.34,1.08
-0.14,-0.33,0.99
-0.12,-0.26,0.96
-0.09,-0.13,0.96
-0.02,-0.09,1.05
0,-0.05,1.17
-0.02,-0.1,1.16
-0.07,-0.21,1.14
-0.1,-0.26,1.12
-0.11,-0.25,1.1
-0.12,-0.26,1.09
-0.12,-0.22,1.09
-0.12,-0.19,1.01
-0.11,-0.17,0.92
-0.08,-0.13,0.94
-0.05,-0.08,0.96
-0.02,-0.07,0.95
-0.02,-0.03,0.97
-0.03,-0.08,0.97
-0.04,-0.09,0.99
-0.06,-0.11,1.01
-0.08,-0.12,0.95
-0.07,-0.11,0.89
-0.06,-0.09,0.87
-0.06,-0.1,0.86
-0.06,-0.09,0.86
-0.03,-0.06,0.89
-0.03,-0.04,0.93
-0.02,0,0.95
-0.04,0,0.97
-0.06,-0.05,0.99
-0.08,-0.07,1.01
-0.08,-0.08,1.01
-0.09,-0.1,1
-0.08,-0.11,0.97
-0.07,-0.06,0.94
-0.05,-0.05,0.91
-0.05,-0.05,0.94
-0.05,-0.05,0.94
-0.06,-0.09,0.93
-0.05,-0.04,0.99
-0.04,-0.03,0.98
-0.05,-0.04,0.98
-0.04,-0.01,1.03
-0.04,-0.04,1.04
-0.03,0,1.03
0,0.04,0.98
0,0.06,0.98
-0.01,0.06,0.97
-0.05,0,0.99
-0.08,-0.07,1.01
-0.1,-0.07,0.99
